iteration,logZs,elbos,Ts
10,-3.330384455913131,-8.374482759971656,115
20,-2.7841400964333856,-6.424237150694924,105
30,-2.9547057523690565,-7.477814791932028,120
40,-2.105023679107539,-7.280761535049168,120
50,-1.4721674236349398,-7.810362687026093,130
60,-2.929471800638214,-7.250159727654316,121
70,-2.6104263066277467,-7.940161249299992,121
80,-1.843634220278249,-6.067225781077041,105
90,-2.3736940781897378,-7.395830549270372,115
100,-0.28153839065972797,-7.117951064747511,117
110,-4.271656582919736,-7.2846957287662075,100
120,-3.123147053232283,-7.30813037279818,124
130,-1.3626776876812183,-6.748751848580565,113
140,-2.286302334624097,-7.735267811322794,116
150,-2.0940575481585757,-8.793171949827569,117
160,-1.6498597860900108,-7.58462398402422,109
170,-1.751660445023996,-7.317727833517947,115
180,-1.8268157541075074,-7.881506831550469,121
190,-2.0104846102021723,-6.433426406017093,99
200,-1.1077721658947524,-6.70087171333348,115
210,-1.8233640247609322,-6.835909429046159,110
220,-3.1611553361882683,-8.765651158157485,128
230,-0.057300729136367856,-6.809162699916832,123
240,-0.4937556027111012,-5.777152619675022,120
250,-1.0546381205912576,-6.6727109470469115,119
260,-1.9739673896738887,-7.341492250646415,119
270,-2.547285962151547,-7.322625368838182,126
280,-2.955567442413255,-6.974576509813658,123
290,-2.587727638790422,-8.98039339130297,137
300,-3.1062772122134006,-8.330111343837759,130
310,-0.7944729086358868,-6.2223648497035455,132
320,-2.8376544978393374,-7.108892966207108,118
330,-3.1566259804319885,-8.153716473039369,123
340,-2.9460358385034624,-7.654823697275054,131
350,-2.156749342508177,-5.867751569311134,115
360,-3.891813058629475,-9.18436005413556,128
370,-2.577101534246808,-9.674359140770243,136
380,-2.3118116075792825,-9.726708626251316,137
390,-1.149829616162092,-9.397188390379982,153
400,-0.6941284058169539,-9.936287823120601,153
410,-3.5701486738819104,-11.671573529698973,159
420,-0.7020791193377725,-9.410717226190112,163
430,-2.7281464254647894,-12.191868418251923,142
440,-1.6384910150352063,-8.251605708983645,128
450,-4.507523612740813,-10.617842577525078,136
460,-3.4654093329202293,-8.190116007673916,122
470,-3.0700734019621114,-7.192244201972838,110
480,-2.674447171876056,-6.592699006371526,102
490,-3.657992341530163,-8.2935798555376,113
500,-0.2905279299781749,-7.840322984096095,131
510,-1.861491205375378,-6.788084246726314,117
520,-1.1608425786753793,-7.721441565015055,130
530,-3.4878875801000557,-7.881552384612661,123
540,-3.4425086479343037,-9.034157621518137,131
550,0.7991072257511251,-6.921513501679446,117
560,-3.7627246103068055,-8.420218899912921,130
570,-1.9765244386991365,-8.910432073659086,129
580,-4.632989241200006,-9.037011967099316,150
590,-3.1140134502981645,-11.54147458085123,193
600,-4.2231084666665195,-9.280988253591996,145
610,-3.2434107911179773,-8.94288984300051,138
620,-3.1894138920293384,-7.2697401232191705,143
630,-1.9370023283796673,-7.668107115668995,131
640,-3.6217095704330076,-6.931358747259262,122
650,-3.9138426455438022,-7.709594487958791,131
660,-1.2078740970313304,-7.854006323517198,129
670,0.41505731339966845,-5.789352632998013,122
680,-3.77350425916314,-7.187571136252314,120
690,-3.5456787787204993,-7.664634050680324,129
700,-2.998531529730206,-7.932226270061857,142
710,-4.566033631331495,-7.586255036074545,124
720,-2.1469984282023606,-8.246020450789858,140
730,-4.063384131827407,-7.399110799448021,109
740,-4.204539129079597,-8.275699097503598,120
750,-4.5507727032722665,-8.409934603803705,145
760,-1.7129580437394152,-8.257183161044939,142
770,-2.9119821041064666,-9.424362908546124,140
780,-4.1859979752863605,-7.94182692883585,148
790,-5.172710222266537,-9.316532826687812,162
800,-4.0903251903067925,-8.74975860468782,175
810,-3.7365360235645864,-8.758561068750687,150
820,-6.343445449082182,-13.535555068340573,248
830,-5.7480598624929895,-19.338721778953296,340
840,-4.992759164761408,-19.35102332743493,227
850,-1.1556134558320732,-12.291005268966392,186
860,-3.9987945744491102,-8.563141126439653,104
870,0.9519619239748729,-7.683985389957426,122
880,-5.860360873621291,-11.087353805980722,122
890,-4.842950449458886,-11.586275298615275,131
900,-5.9143083160803975,-9.142441101953722,114
910,-3.8714050050923037,-6.837942765934083,97
920,-2.622269708542584,-7.137980641967053,114
930,-4.218728307791862,-7.341192597852264,120
940,-5.868619559199815,-19.710778560603284,290
950,-3.4022654520877635,-9.514260844668419,122
960,-4.386284696898757,-5.854694923793647,80
970,-4.06336075632637,-8.410472580340274,122
980,-5.075008251720076,-7.312914650144101,81
990,-4.129508049493648,-6.109237516895789,62
1000,-3.2182429713747784,-6.781536602192238,96
1010,-3.930175623220046,-7.094367235948445,77
1020,-2.1757435494467563,-6.0428984697820205,61
1030,-5.520469201995464,-10.004433753671762,123
1040,-1.192484359233967,-6.542700706313986,123
1050,-4.036452200015685,-7.290503514912191,89
1060,-4.52052004357891,-6.346784934351348,63
1070,-3.524618010297016,-6.416607464860447,78
1080,-3.8678066865893177,-7.081166071466949,106
1090,-5.255801212547226,-8.116702807297532,88
1100,-5.221672373755217,-7.099728558094828,57
1110,-5.45078826094479,-8.593012362853155,117
1120,-5.4491579732351925,-7.945249952270973,77
1130,-5.893095941215522,-7.24011536209703,56
1140,-5.623595980544315,-7.292492847164272,72
1150,-5.183330051253682,-6.675862111161738,52
1160,-3.6270336867798307,-5.9777208376919395,70
1170,-3.9283545442582786,-7.0922254035826855,60
1180,-1.0106561384384243,-6.623366715889207,97
1190,-3.474384929581321,-6.209860363457049,93
1200,-3.4531998465962253,-6.799759598096038,94
1210,-2.383133003207406,-7.6961913620503415,146
1220,-2.9299911476085656,-6.688323184002133,96
1230,-4.611032601587505,-7.7679967452115894,103
1240,-2.1676705926345194,-7.397707285282042,98
1250,-3.299304049708825,-8.170447214441017,141
1260,-4.10067792344725,-8.788099205638792,141
1270,-5.175865577339472,-8.056655794951995,80
1280,-6.795451625997446,-14.757092060237655,194
1290,-4.235641466092788,-14.805397220520103,217
1300,-3.4694366015774767,-8.540319604171005,122
1310,-3.9556354923516173,-8.438223214893647,129
1320,-3.9480801020777405,-7.315391075437397,112
1330,-3.5216599662013817,-7.329161430791072,138
1340,-4.29769555634806,-6.189602642945159,77
1350,-2.4047898178006917,-6.442024548097365,129
1360,-3.566172948358506,-7.238837272261944,121
1370,-3.8592274378531553,-8.642305913360799,146
1380,-6.704802755766925,-9.287871668374846,84
1390,-5.674655633526921,-9.820591645118846,141
1400,-5.3275521982263125,-8.475065766726981,76
1410,-4.409515827857102,-6.571313543004852,76
1420,-4.0272405407703635,-7.67571935244712,93
1430,-4.694517935447088,-8.393447047852824,146
1440,-4.747701840158816,-7.777335719696446,79
1450,-4.541291176120605,-16.073322114349974,374
1460,-5.015994235607481,-17.031081229295967,280
1470,-3.524015643021926,-8.213155805892598,123
1480,-2.777773239958748,-7.153972006399503,100
1490,-3.360971911305101,-7.30958780142187,97
1500,-4.485837795122077,-8.815152417250887,118
1510,-2.153598474751676,-6.7490660163722875,120
1520,-2.5906796302340833,-6.961978166334346,122
1530,-4.601828749389769,-9.02672449185524,132
1540,-4.0644964523115,-7.937626662263749,107
1550,-0.9838324389123607,-9.743203446535448,117
1560,-7.50639768332508,-11.241550318403766,102
1570,-5.569934873125918,-8.005523751172877,76
1580,-2.3158949764460703,-6.339495526134239,101
1590,-5.567159357304549,-7.61638830712902,81
1600,-3.32511412464901,-7.092404933202574,70
1610,-3.518027536129448,-10.23647615238398,163
1620,-5.520913684723374,-8.930229156474795,81
1630,-4.909229135135593,-6.751271958645747,76
1640,-5.61246596953195,-7.788021199301838,61
1650,-2.432158043836255,-6.725012225874917,106
1660,-2.450404383247238,-6.031017069902561,91
1670,-3.0937611950839767,-5.958946571052221,79
1680,-4.250053489704991,-6.00267234516312,83
1690,-3.6539705259551987,-4.951073155453971,93
1700,-2.315350357515939,-5.404837999847341,79
1710,-2.9067306053722923,-4.951336970704479,77
1720,-2.6705398829556035,-5.4629803461442625,89
1730,-1.5022534563432883,-5.470352371405473,88
1740,-2.7358944830575327,-8.745083886008453,146
1750,-3.0187725543296504,-8.874214831992955,153
1760,-2.717386234299863,-6.847406335094785,112
1770,-2.8013295613396583,-10.496001405827577,158
1780,-3.4800626783897823,-8.668379344190194,145
1790,-1.6473900891726152,-14.055782423505631,187
1800,-3.2863828042889303,-12.671494346505845,162
1810,-3.8496849059279294,-10.419088931657102,142
1820,-3.5967825195941088,-10.382533932652047,111
1830,-1.7831490045317462,-8.698279891292884,125
1840,-3.031183740048772,-8.938353331558625,135
1850,-3.088731636282823,-7.805853552667339,114
1860,-4.325664286390301,-9.436939049466567,116
1870,-3.800913654918572,-11.178759422320462,144
1880,-2.1131540925980885,-12.929837637661427,185
1890,-4.165337697514917,-13.16999786148672,188
1900,-5.182770576549682,-18.47767378949703,217
1910,-5.474580620087201,-16.849986135805462,215
1920,-1.1771025188385802,-8.505575664855145,148
1930,-3.677669984083394,-12.483482616236486,141
1940,-0.4429116788204088,-11.325305001582183,175
1950,-5.838826786416266,-15.487305900571224,164
1960,-8.904955727699578,-20.999336765951465,199
1970,-12.026865843511112,-21.19886552859141,232
1980,-5.722927988949722,-25.359887675622613,229
1990,-5.999513071032787,-10.470872497434305,98
2000,-0.665726721284484,-8.832195446419794,99
2010,-3.912924513480254,-7.807008682530654,88
2020,-5.919918724742065,-9.974353688395682,100
2030,-4.4312911908245285,-8.451697304531507,85
2040,-7.382981601884744,-12.158551463516902,108
2050,-7.602071602017563,-10.767943980740146,90
2060,-6.693963909859342,-10.692095770851774,112
2070,-5.307998311993184,-10.218296550314005,87
2080,-5.280526648584409,-8.520116266952684,71
2090,-5.707239655559388,-8.610567847962987,71
2100,-7.053641898429191,-9.82990381635978,72
2110,-8.827374445499089,-13.254021793470322,111
2120,-6.486460247411104,-9.99622378244567,88
2130,-5.1363014880767714,-10.828646086220035,86
2140,-4.078037527361337,-8.394950868705779,84
2150,-7.605207613954953,-10.867024368640923,87
2160,-6.883142867726747,-12.176172378443397,85
2170,-6.474352252257299,-10.804930752368588,81
2180,-7.1328100881982905,-11.545041645305426,89
2190,-7.405609536401066,-11.461209946880576,83
2200,-4.831800886010283,-10.331984003847587,102
2210,-7.634299189938625,-10.35060326609434,72
2220,-4.727461956355588,-9.69596167059814,72
2230,-3.4270108629192033,-9.28301919996347,70
2240,-5.223358322440388,-8.688910121834482,76
2250,-7.406737842346841,-10.104964738156317,72
2260,-7.277872439099767,-11.537132529975601,97
2270,-5.238252426609453,-11.097342936894265,100
2280,-7.193419211739644,-11.728189179883607,130
2290,-4.4297195820836865,-11.59649719924231,153
2300,-7.41468824951658,-11.737924831152654,108
2310,-3.2889101558110534,-11.167816129636927,116
2320,-6.511301632172291,-9.063873004983074,75
2330,-1.0593292879195917,-8.268781916386082,96
2340,-5.8761729945819505,-10.605343970498259,119
2350,-2.5395472402357084,-5.855860574429063,88
2360,-4.675348607852223,-8.887611611597544,101
2370,-3.9448941752217057,-7.623505306622917,91
2380,-5.3037253846728,-14.956406147280973,206
2390,-6.539080290262182,-14.653685811194267,262
2400,-6.877675141951345,-33.24758893060638,369
2410,-16.369580216062612,-31.800955920483915,385
2420,-10.034368628560847,-22.560350708998744,211
2430,-14.187780052686968,-21.219970886362276,174
2440,-10.22695404648915,-17.399914635198133,167
2450,-11.003590370210237,-17.8273457063439,201
2460,-1.645623593077785,-16.785434953839925,184
2470,-8.502977027433278,-17.244378448644127,181
2480,-5.830242199129634,-15.134109214088085,202
2490,-7.785811425754037,-24.316611830213187,272
2500,-12.807094473720555,-22.3138061408834,208
2510,-15.705517036792394,-20.062213969520567,185
2520,-10.228145462049662,-15.180057496582966,152
2530,-7.319574168275004,-14.550278585190483,182
2540,-8.056779098518234,-12.73664981936627,133
2550,-7.3603885169206,-12.90908310103854,139
2560,-9.137984543922759,-15.03816151740953,169
2570,-8.009288578128741,-15.334389910617183,172
2580,-19.20384766868962,-26.444167855116895,228
2590,-11.53781981920582,-24.044167348279135,231
2600,-9.909483827801242,-16.056111884962846,172
2610,-8.776885299103405,-15.40444092152679,165
2620,-12.302146896157982,-16.133881910823675,183
2630,-7.634906224975129,-14.440078500231127,177
2640,-8.495214477046371,-13.42329228183483,169
2650,-9.893594285736977,-14.661558452722868,174
2660,-10.512431241516275,-15.210273581443497,172
2670,-9.823076220975787,-13.25960718266309,169
2680,-8.586303825311433,-14.737642072086476,183
2690,-9.133419075184346,-13.430403900581485,203
2700,-8.753133501166396,-13.114591814238224,184
2710,-6.0010118982459755,-12.554068115600312,164
2720,-6.583339350500699,-13.310523166197834,167
2730,-6.8461102839626555,-12.86630948962798,198
2740,-9.423107381604483,-12.03654261094588,154
2750,-9.0715978884864,-13.093615091216673,175
2760,-7.978562419142849,-13.504855047575338,179
2770,-4.963372010837709,-14.15431883708572,186
2780,-9.950412069143484,-17.004484125387876,198
2790,-9.36997232109046,-14.645947823564741,174
2800,-9.900157977304886,-15.286311728815598,182
2810,-11.320295790112079,-17.496800006247874,217
2820,-6.504607653098301,-11.41132935798975,162
2830,-5.887218628954727,-11.825706684274698,187
2840,-7.897433537970114,-12.072981503312496,162
2850,-7.28225955958759,-11.098725841639286,177
2860,-8.760953479213635,-10.989521359655573,152
2870,-9.561124145612872,-12.610888052512822,174
2880,-9.126814848436512,-13.530128155208462,162
2890,-8.75466205504311,-12.238019724372158,182
2900,-9.302702139906055,-12.818012483631131,185
2910,-8.136752535758106,-12.257033174237216,185
2920,-7.448240686520704,-13.506214539199693,198
2930,-8.579153688697081,-12.453487241009519,191
2940,-7.803300336546309,-12.948187740880597,184
2950,-8.748360063124899,-12.272662485259847,176
2960,-6.9330049696407645,-11.71989775864289,188
2970,-7.479361983650293,-11.912230536943952,173
2980,-4.86449746329628,-12.02313712517386,200
2990,-3.607801457228031,-12.168268623192006,177
3000,-6.324914964965378,-12.524674181152168,209
3010,-1.185595686212825,-12.851600696500014,208
3020,-5.652525582880537,-12.631457946390743,199
3030,-4.5894029242535,-13.561243634456094,192
3040,-5.338855310384729,-14.4072297327798,232
3050,-6.770737023667472,-17.69340391597361,240
3060,-6.919738491813668,-18.298456287762935,260
3070,-5.758301608231881,-20.814646679533453,325
3080,-6.57912694086893,-13.12522957664558,220
3090,-5.03415906376486,-13.178425520144495,221
3100,-3.6632430764059487,-10.727887370594189,223
3110,-4.200760909757657,-13.034128930783622,222
3120,-4.307467438901712,-10.394299574856083,217
3130,-2.5376142366534324,-7.637160219899935,178
3140,-3.6951588101598487,-8.437035824807568,166
3150,-4.685448936751786,-9.106674097860033,160
3160,-2.904624691513319,-7.684350476631582,156
3170,-2.6908620069970297,-7.640553126082128,158
3180,-2.382492142819942,-11.019075361455714,191
3190,-5.263963862813702,-11.896817987001722,242
3200,-2.137689913502709,-11.091541915736654,199
3210,-2.5236505501142354,-9.608796426850889,175
3220,-5.930917750319436,-9.8238868678895,166
3230,-5.995214822595122,-11.8729008729516,200
3240,-0.8408049681255978,-7.648177829154017,131
3250,-2.7208319709988293,-8.03012006861219,140
3260,-7.57144362448212,-10.686350051506757,203
3270,-5.376021672952644,-10.95113560991959,193
3280,-1.8629314825547336,-10.825428356638014,189
3290,-2.144402508613158,-15.979319913130709,263
3300,-3.7630980875488715,-9.283135773137216,183
3310,-5.075296682159781,-9.171064566665283,149
3320,-3.1255978052015663,-8.538190402543803,128
3330,-3.6289809393825596,-7.780040918588817,145
3340,-4.548070029385755,-8.879462353069798,148
3350,-5.476860697768135,-9.912577214592847,165
3360,-5.579914187556208,-9.460997424982653,151
3370,-4.181796185663944,-7.616633265917284,131
3380,-4.078593266864767,-9.252903927467447,153
3390,-5.102885890436777,-8.882776878144517,142
3400,-2.9202410696507486,-6.6768013324051045,100
3410,-1.662398686454464,-7.7853605934914745,119
3420,-1.1867903502370147,-7.75287774912055,135
3430,-2.4367142708957807,-7.506518121638321,120
3440,-3.445240750985734,-9.512216458668824,138
3450,-4.053112753724311,-7.885069812978065,163
3460,-3.939633184681754,-9.821213655553997,172
3470,-3.5435856455091814,-10.21004882115612,187
3480,-2.119867996756549,-12.851927096806378,201
3490,-4.589672544356413,-13.082028202607445,197
3500,-1.3423242733862475,-10.23793632572871,179
3510,-3.0651777697972773,-12.401977335822465,207
3520,-5.020524857838536,-13.120752401259342,234
3530,-3.8867310944887183,-12.471929180783107,221
3540,-4.591096733222196,-20.303162690067424,367
3550,-3.8046274614734887,-10.491508301762357,253
3560,-3.8956905013840784,-13.701839132127374,312
3570,-3.3634627278710445,-12.665824612501433,269
3580,-5.383860440949057,-19.166949466979503,302
3590,-4.166520247110808,-23.769455774762974,377
3600,-4.271095006226105,-20.826843942194042,335
3610,-4.642907160110674,-15.509940154500176,261
3620,-3.784271258004745,-17.52651091061443,264
3630,-2.4952266513470978,-9.28388825447568,175
3640,-4.100123811464829,-8.670267484504736,136
3650,-3.617559865535137,-9.820989656625512,204
3660,-2.659654076235224,-8.841302763607674,195
3670,-3.0357643942770256,-7.793538386129316,185
3680,-2.7191116287372736,-6.18914312437194,114
3690,-3.6311371768276874,-6.320027394457852,130
3700,-3.6661245505725977,-8.044713509629682,153
3710,-1.7379627642545004,-5.78840355612335,108
3720,-3.0223692781954004,-8.873276421425016,189
3730,-2.3691903204477085,-8.291295943611487,177
3740,-4.24626033498523,-8.595626368240442,157
3750,-1.8009551962123298,-7.11743131367385,174
3760,-1.8567407729258742,-9.713997095287285,189
3770,-3.126011100237992,-7.7111284706653676,161
3780,-2.5849438851130198,-8.336475322611971,151
3790,-3.9830411805598023,-8.257937845934519,154
3800,-3.0431297545639144,-8.568579261790754,146
3810,-2.1024528534548637,-9.398514910136418,232
3820,1.6069516696701105,-9.4226217981596,180
3830,-0.6858204504982219,-8.867095901158802,204
3840,-4.514965611943179,-11.412622584859896,246
3850,-3.082138726517883,-23.935168810915194,346
3860,-3.326952787171887,-18.43694677483746,275
3870,-3.9979368557169037,-16.545713333791934,257
3880,-4.231171526552998,-13.552401781054545,252
3890,-3.873733570853559,-14.030497666244147,240
3900,-3.635139665057798,-15.008296692081606,280
3910,-6.078697214393446,-264.5580527238808,4265
3920,-4.534330221074153,-24.82459347777175,376
3930,-3.4735935874944746,-22.516561242348082,482
3940,-5.935168126645905,-39.4745138854225,606
3950,-3.4980843283334098,-16.24814582275631,247
3960,-4.0180907989336365,-12.750299991777512,202
3970,-4.360968802898707,-12.544997825313857,210
3980,-3.5417648824627532,-11.934962557466566,210
3990,-3.219419621293066,-9.648442812334977,206
4000,-1.8391328983834365,-9.534734260609437,200
4010,-2.799859896292864,-9.559569611774464,196
4020,-3.9934183505635676,-11.252603400347063,182
4030,-1.56979361075194,-10.122891626739532,182
4040,-4.785385917850865,-12.052590656638927,210
4050,-3.4756220729840854,-10.76696858081017,183
4060,-2.734882793067066,-11.849286058620676,197
4070,-3.302189693009816,-11.1628693650367,196
4080,-4.107116192006985,-10.64499059243333,183
4090,-4.940294599998037,-9.735524898183035,147
4100,-4.410659158020064,-9.144904189768468,137
4110,-4.776861796364642,-10.214960370287372,166
4120,-4.046247167028648,-11.726954208656169,203
4130,-3.9456397826559524,-12.096990427536143,194
4140,0.011132572410827102,-11.450625747242112,205
4150,-5.330569020193485,-14.170736699037226,224
4160,-4.031049037634814,-10.913795043472149,173
4170,1.4832293674521035,-10.260492233499376,177
4180,-3.2123513004001953,-11.99590696659501,199
4190,-3.294548586568351,-11.513326940803381,200
4200,-4.566908130056272,-14.314420807786531,216
4210,-5.073375709799164,-12.873417004037652,225
4220,-4.093972055655509,-12.065267310062431,229
4230,-3.4549497342094937,-14.925550621073008,239
4240,-5.045398798680841,-14.117003079874662,282
4250,-5.00741131357163,-16.332435301275144,332
4260,-2.208352917551262,-17.729706214213,315
4270,-4.058869001074134,-14.43525965957755,288
4280,-5.846810373671206,-13.636791607212581,256
4290,-4.143748173037308,-13.825229754355792,252
4300,-3.7621150314139755,-13.336656157797691,254
4310,-2.108242932062889,-12.639556355769244,279
4320,-4.200220811699493,-16.053309081460835,272
4330,-5.718894774503127,-14.141785735418166,268
4340,-5.208939779089315,-13.582116209799729,246
4350,-4.909424724759248,-12.840916082355418,239
4360,-2.787301504330545,-15.122455237742379,281
4370,-4.225005922130954,-14.966243669623385,304
4380,-3.933392636194398,-17.451248161582395,304
4390,1.621323362787097,-14.94169359185851,295
4400,-6.312661432006038,-17.308116392369797,280
4410,-7.347952104014084,-18.881832663029396,319
4420,-4.058181709115189,-15.00096597847918,267
4430,-5.4058310801985385,-16.906998056289527,298
4440,-8.238842983099522,-22.411514157801765,407
4450,-6.126075282347185,-28.931556060329587,457
4460,-6.700733216261905,-20.184600399000217,380
4470,-4.6475178077515364,-20.845409863010392,362
4480,-4.366287782875459,-21.22017240452414,394
4490,-6.838523432665009,-24.26127624646984,471
4500,-8.37083128660458,-22.14051989369306,397
4510,-7.176952853217141,-22.537112709795206,424
4520,-7.879640474934716,-20.321375337085605,387
4530,-6.653409330560573,-26.50333295809708,482
4540,-4.226494345886566,-13.184741444010918,293
4550,-11.93777463282691,-28.604083280863794,478
4560,-8.254759636501785,-32.68887221191845,782
