iteration,logZs,elbos,Ts
10,-2.944727770371766,-5.38671824910151,100
20,-3.0998220000470016,-6.5232398400696825,80
30,-2.711658458276011,-7.016535485882276,98
40,-0.17267780062846816,-6.865067315835617,108
50,-2.3943957975400982,-5.574446511050601,90
60,-2.94577429737151,-5.135696285175555,85
70,-0.5548444661050604,-5.715794366669238,101
80,-2.2053408604997373,-5.6678553505168505,88
90,-3.136067328705928,-5.910248762094734,88
100,-3.7107440548300437,-5.629803258704942,76
110,-2.1889475481757183,-5.2713570189301215,102
120,-1.1547876342178252,-5.358282309511269,89
130,-2.669682104232136,-5.404559526621527,94
140,-2.774831777199923,-6.8492585332972835,97
150,-2.051973864832264,-6.213377208297813,104
160,-1.7160015299084006,-5.84656940979663,96
170,-0.9424647532391668,-5.117224948214422,89
180,-0.7459194782662424,-5.118853586210235,101
190,-2.0257729376137235,-5.713105265572674,84
200,-1.9589890955859302,-4.610808138286823,74
210,-1.599784819944735,-6.036346682076354,111
220,-3.039152135936858,-6.687235096026893,104
230,-3.5251057868386253,-5.409358971714281,80
240,-2.9135482698901356,-5.902566928969643,91
250,-2.332131819761087,-6.516463851411518,112
260,-1.3894528919793774,-4.344023232129597,89
270,-1.2760091668082523,-5.383803453457248,106
280,-2.3884388014839506,-5.806673864123909,93
290,-2.2313671221704734,-5.731433457707564,92
300,-1.8532569723433667,-5.510511740108842,94
310,-2.5465839586587617,-5.760964207718106,102
320,-4.906502524991797,-7.091986799647945,97
330,-2.874185690831938,-4.818359431588756,78
340,-2.4140453993918447,-5.571987945220816,105
350,-1.377009717591695,-5.035632013252393,100
360,-2.2163657680861197,-5.806091024534581,106
370,-2.7808299899467053,-6.683932095750853,110
380,-2.0910511589196465,-5.7911130881953525,101
390,-1.0436023247573667,-6.3138069823451755,109
400,-3.11084442911476,-5.967845042024084,78
410,-2.154344561527891,-5.329393708991828,87
420,-1.686732411054321,-6.52456837462848,112
430,-1.3377594980336722,-5.358785966840677,91
440,-1.3628812461844513,-5.759838569477918,106
450,-0.9830876651966984,-5.2825481008101,75
460,-3.6623101476441344,-6.610768875400865,104
470,-2.738257351576245,-6.364775985561957,101
480,-1.7971103485547606,-5.328758368650762,94
490,-2.7749052919183503,-5.091726577222875,84
500,-2.3317247304327684,-6.8725113936886,103
510,-2.3587794812105245,-4.684438840989422,78
520,-2.221789488080312,-6.268901288102576,112
530,-2.931845807414143,-5.669112682953961,105
540,-2.3828559450664777,-4.575472055858593,78
550,-2.2299420753952393,-6.1464855092643935,93
560,-3.0685024638125475,-5.695571194405281,80
570,-2.5672651561003677,-6.700496780739313,112
580,-1.7084369768373004,-4.19999033527972,84
590,-2.205065321430125,-4.639880401205643,66
600,-3.238118682012099,-6.132479464141571,93
610,-3.3302089354731086,-6.754015745104957,92
620,-1.6321654131559669,-5.724606068235926,83
630,-2.1690192681525056,-5.9176767657800795,94
640,-3.874178568303886,-6.476269982121306,92
650,-1.7551981378399755,-5.952126252715938,96
660,-1.6825102717507636,-5.556657906204212,86
670,-2.3216597438000464,-5.527558094528038,88
680,-1.7857458286147945,-6.008996625420915,104
690,-1.642007070803532,-4.715980173834142,91
700,-1.6219342355609054,-4.982872099802197,94
710,-1.2516899924712908,-5.278961642405833,105
720,-3.621045219218167,-5.616745032449984,86
730,-1.3712620055780484,-5.5446478585165835,98
740,-3.1542324057293296,-6.553334173558254,94
750,-1.5408461807001095,-6.278745735329798,115
760,-3.559461693192821,-5.608853158969104,87
770,-3.2803706423899768,-6.830315201892432,103
780,-1.6967193724929204,-5.7463341356088495,103
790,-2.9057470684618556,-4.984462984371058,74
800,-2.2327339917172617,-5.193474260326105,97
810,-3.4380968960679246,-5.863231329011842,99
820,-1.0920606088301192,-5.700508480556594,96
830,-1.0933538236670475,-6.548729989565174,107
840,-3.0844892898190643,-6.679314606491844,112
850,-2.1461658466330524,-5.082848168564674,86
860,-2.943705822349357,-6.31792217582589,102
870,-2.923471048509194,-6.646394111809488,106
880,0.6369660647183415,-6.483934005851397,111
890,-1.314543733273699,-4.434784117751153,85
900,-0.6260485034675827,-6.482164346582676,111
910,-1.5984643092394564,-6.292003847395005,97
920,-2.552393428175938,-5.740469504629882,115
930,-2.9291221686896516,-5.622697812014585,91
940,-2.285796338249189,-6.278253934549348,99
950,-2.811269705828819,-7.15575296482821,113
960,-1.3605931164587024,-4.7220256524292274,91
970,-0.058414663938656464,-5.271488037031376,87
980,-2.7906299220251247,-6.03409033875628,109
990,-2.6393087093548484,-6.076216918694827,99
1000,-1.3014270411168143,-6.113789038308818,113
1010,-1.795500611824756,-6.3540248382947855,112
1020,-1.5201936594290022,-5.843653879077319,97
1030,-3.3661716107442587,-7.6334523112216015,99
1040,-2.970993639363479,-5.917032397800797,93
1050,-2.9288453679289046,-5.425953173181755,82
1060,-2.0309998700453513,-5.047996517956029,89
1070,-2.4677878231982873,-5.371881894007589,87
1080,-2.6454857816034427,-6.305953705963374,101
1090,-1.5884144438628942,-4.8429784352987735,86
1100,-0.4763657128677097,-6.282070924110071,99
1110,-3.471894155305764,-6.366938369613057,96
1120,-1.004893558750533,-6.438780208317433,103
1130,-4.373345169490826,-6.0909754601965505,73
1140,-2.7287724607105828,-6.903094682447465,108
1150,-2.324566726938973,-6.54337622447388,106
1160,-3.1596134033138763,-6.624247242958096,104
1170,-1.6149507242702434,-6.561271535533079,112
1180,-3.085553912421773,-5.7409169821435455,93
1190,-3.937360640134764,-8.147734084936502,118
1200,-2.5696937282021644,-5.210589582117572,93
1210,-2.2998296110077274,-5.284419703358418,79
1220,-1.658576325730138,-5.440184545964396,91
1230,-3.2716758526045018,-5.453029827095664,93
1240,-0.9243418955288156,-5.3006160329224326,102
1250,-3.0808583829354865,-6.785125008387913,105
1260,-1.4345063560085678,-6.312324899611771,101
1270,-1.8037684356421584,-6.349331587328745,98
1280,-0.17680963253771598,-5.42806445900411,93
1290,-1.2583538916351698,-6.418021502516581,103
1300,-0.09944534948478134,-4.968803197940182,102
1310,-3.0072692889186285,-6.436487907644828,90
1320,-3.570664794884567,-6.778123872406891,114
1330,-2.619249173261154,-5.12419894760752,75
1340,-2.2211353456559433,-6.442757620542073,103
1350,-2.761073995101564,-5.344951286748087,93
1360,-1.6306776350758583,-5.606217614514964,99
1370,-2.5045344659129904,-7.5458274225230015,111
1380,-1.777189741530878,-4.903639757511641,98
1390,-2.9703881154587304,-6.588416169117565,107
1400,-1.810862607764191,-6.426867062712815,98
1410,-2.776547353287496,-6.366289895393351,96
1420,-1.0464708952963844,-5.7094085580805345,107
1430,-0.8524287145833127,-5.852794057691735,103
1440,-0.6937626041363245,-5.573137279903393,97
1450,-2.922720667598627,-6.040921944797949,105
1460,0.8844940339835561,-5.076063975313818,97
1470,-2.1961905831430664,-5.352320126433525,81
1480,-1.794217321150196,-5.19576679632554,76
1490,-3.0673794220572503,-6.8733795186207045,102
1500,-2.6298188003221634,-7.225877032462743,107
1510,-2.3763665316001643,-6.5207504503128115,106
1520,-2.058534115552173,-6.23540681487455,107
1530,-1.492787319176713,-5.294180827720651,94
1540,0.0866785582333276,-6.36950524982518,102
1550,-2.0163956262169247,-5.237493507285128,88
1560,-3.061181067324802,-5.17879416220114,80
1570,-3.0433942979957718,-5.598043324976126,92
1580,-1.5748737034467224,-5.28710132301343,73
1590,-2.0154799600938933,-7.281420389561098,106
1600,-2.0369303602238396,-5.500828883601233,82
1610,-0.6207458593764037,-5.014994879221777,101
1620,-3.1598812147481214,-6.505636869004209,95
1630,-1.7257115167111747,-5.558657688376202,86
1640,-1.0142293546527248,-5.192815952810139,92
1650,-3.3500761029374555,-7.12110442931802,115
1660,-2.4215799685489277,-6.541700651019057,105
1670,-2.1599372942752897,-7.519504529289573,105
1680,-3.169008136464811,-7.038501539821712,98
1690,-2.96286836077715,-6.279663157707802,100
