iteration,logZs,elbos,Ts
10,-1.9243934382698462,-2.3398213744113083,13
20,-1.7986690698843257,-2.1359125332211737,15
30,-1.9304092565249151,-2.1576946646196045,15
40,-1.4932172971897268,-1.948543793640827,18
50,-1.715311713378207,-2.1277662388835927,17
60,-1.8905344261377512,-2.2616228334077935,10
70,-1.484788258016053,-2.1818052502706173,12
80,-1.681914844525338,-2.3819181475505147,9
90,-1.60270022373096,-1.9303363473110502,24
100,-1.72066576496427,-2.0657159856211362,16
110,-0.5992692850659931,-1.739438419634212,17
120,-1.9581372612034278,-2.196406191233637,17
130,-1.806393197072861,-2.105571814190912,15
140,-2.1539340476285913,-2.4160235996943467,13
150,-1.9234095579377761,-2.192725998038307,18
160,-1.6352027257288106,-1.9933774954227506,18
170,-1.6616348478257978,-2.040907795630797,12
180,-2.096014057753939,-2.3114752106389975,13
190,-1.9797732122925633,-2.162979264092638,19
200,-0.3037886931103855,-2.0064371951082363,14
210,-2.1347429844870955,-2.336615089837815,15
220,-1.9052559092438055,-2.4339242409693562,16
230,-1.709373922248039,-2.0672414098294136,10
240,-1.8611903712027735,-2.109373778224257,12
250,-1.61658294209958,-2.2237159822824473,15
260,-0.611704276263616,-2.8622648490693097,15
270,-1.9839341927536323,-2.2794377882170873,16
280,-1.8645572156350836,-2.60513069031179,15
290,-1.941922595578048,-2.0836585445975935,14
300,-1.301464899288371,-1.9208209447119324,16
310,-1.937026276138663,-2.218434964458077,14
320,-1.3698391899293152,-2.0254620180315035,11
330,-1.543273789746572,-2.4097498537489024,12
340,-1.9602029717111498,-2.2493096307037903,15
350,-2.038764996220575,-2.422200138529396,20
360,-0.639093244307523,-1.8692668373583334,18
370,-1.1621789474149566,-1.9928430827534198,14
380,-1.2282929767905864,-2.178403787112187,15
390,-1.9215208958527301,-2.285170229964015,16
400,-1.1224794773313942,-2.2650269005681385,20
410,-1.0726365267904194,-1.9882544957649593,15
420,-1.5512471630708096,-2.188987808892867,14
430,-2.0846746689014157,-2.255464876182291,15
440,-1.8013304815029525,-1.9995515495843321,15
450,-1.9481425187452133,-2.1654410622982567,16
460,-1.4293127265900871,-1.8810012580903464,18
470,-1.549478547304231,-2.0659254472322894,19
480,-1.4953893167511971,-1.7331838934643393,19
490,-1.2913946570031594,-1.8824619229400505,16
500,-1.75949424565684,-2.4674127914996946,15
510,-1.990689257900181,-2.633708286218332,17
520,-1.822847150237917,-2.0377904371804147,15
530,-1.4108705586972548,-2.2408408327612035,12
540,-1.8020950871123784,-2.215943032263823,19
550,-1.7737545625997937,-2.0555785476038952,17
560,-1.7575415249476145,-2.0560430425317993,18
570,-1.554783854973111,-1.8353781616655955,18
580,-1.5943059562520605,-1.9079472709460206,21
590,-1.6691125585701079,-1.974578506185496,16
600,-1.2751928030023882,-1.9185358029468824,19
610,-1.5660840337007553,-2.1099312729935056,17
620,-1.814361569194453,-2.2636940606896885,18
630,-1.8822174607489706,-2.0747626498420906,19
640,-1.6185883396808034,-2.0407420695592773,17
650,-1.362424098530715,-2.0006275252366796,16
660,-1.284641364021374,-2.5001379060311075,15
670,-0.925996867355086,-2.0290073980562915,19
680,-1.8123042222995194,-2.04620178963094,19
690,-0.21096851072662792,-1.6332477770233862,21
700,-1.6583155488485906,-2.0102099093688466,17
710,0.20258239036010073,-1.5945372265600148,19
720,-1.1219990512181126,-2.2017906553054813,12
730,-1.9486215380412095,-2.335795732148098,11
740,-1.35718114345879,-1.85145795694667,14
750,-1.1030546041158913,-2.1932395594246006,15
760,-1.5899477969055158,-1.8366276169148448,16
770,-1.5274111913731268,-1.9555030727792346,13
