iteration,logZs,elbos,Ts
10,-1.7171450434824924,-2.2533152637350673,12
20,-1.8256136689517786,-2.3304750731109465,16
30,-1.5969732648813204,-1.9832439345254176,16
40,-1.68367181097494,-2.142170684994129,16
50,-1.223065987500723,-1.8644417496496664,17
60,-1.5703996514697678,-2.295872309588062,15
70,-1.1911195038541726,-1.8622319110639882,14
80,-1.6144981060868324,-2.1269297768546793,19
90,-1.2882485841342879,-1.8083418464009706,18
100,-1.8183069180042806,-2.3787187878162928,9
110,-1.3917173155057156,-2.1537232151274055,15
120,-1.2713848462857182,-2.2812487422950034,13
130,-2.1996285894574115,-2.2895129721719463,16
140,-2.03410072971377,-2.940218997972747,13
150,-1.9829680038782267,-2.1447043909028682,15
160,-1.6682011553013405,-2.057968113769782,18
170,-1.4899933206695015,-1.8675758566260863,17
180,-1.793516987556938,-1.9575325889443547,18
190,-1.4752163414281851,-2.2727059628150257,14
200,-1.5471718710152962,-2.0036690946844433,16
210,-1.7974057933822642,-2.086445624917368,15
220,-0.5843995766467764,-1.9861608247919833,20
230,-1.6948470611006352,-2.0738771457695444,12
240,-1.8720150696315434,-2.1869377056750614,14
250,-1.743330118337261,-2.0444929300954815,20
260,-1.8269876476192262,-2.0232121221623767,25
270,-1.8379101444480224,-2.091643401310592,24
280,-0.661537268993377,-1.820902311157049,13
290,-1.9514827293341654,-2.172280737054026,11
300,-1.9291060864843677,-2.1697879653168055,13
310,-1.8082563158360005,-2.2290181904368356,11
320,-1.579167237346451,-2.0337788564114065,12
330,-1.7266893447914238,-2.162679525803864,11
340,-1.7361998098604552,-2.1100563944603943,18
350,-1.7446421197143613,-1.9436261254019542,28
360,-1.9804080031555575,-2.529753745378932,13
370,-1.9357176091873582,-2.2504343936770645,20
380,-1.9947706760922506,-2.136790330846017,14
390,-1.3330212695705899,-2.2716960598317306,13
400,-1.5560471300327163,-2.0429577840891504,19
410,-1.5035940564396006,-2.0276258337342754,17
420,-1.854418675787414,-2.0814938128412286,15
430,-2.06093307045574,-2.3721156043078517,12
440,-0.7455043161424495,-2.1455403438523417,14
450,-1.4528182413725745,-2.152762379320649,16
460,-0.9422254392820175,-2.099451852709775,17
470,-1.7639335389866413,-2.114246985436178,16
480,-1.58506507580587,-2.039302097352525,20
490,-1.5289958610367569,-1.886586151837175,15
500,-1.6228401985348946,-2.304261185495716,18
510,-1.8046688896390617,-2.3176867003089296,23
520,-1.6120455036796968,-2.0141203795621143,14
530,-1.7946267729481895,-2.2687475594279882,18
540,-2.0631689226479155,-2.285827685892027,12
550,-2.0237567557262786,-2.2037264950458315,19
560,-1.6075360451936422,-1.9759976572427729,15
570,-1.644591336064221,-2.2288869598880257,13
580,-1.7447254449652934,-2.012315568229434,14
590,-1.2022396332780598,-1.9029829205503692,16
600,-0.5286322302894364,-1.5395078861881768,19
610,-1.6696659757361496,-1.9366435486325075,29
620,-1.8247023413872205,-2.0942000679567423,13
630,-1.6808162147568577,-2.134179034517851,22
640,-1.9432177046558938,-2.0673995728608165,18
650,-1.94927424246893,-2.26054328076737,16
660,-0.8025503052643339,-1.927342431102713,15
670,-1.0580247345302678,-1.6802909569632762,19
680,-1.801460526308885,-2.0472549597765384,23
690,-0.7304035360802943,-1.726642918359025,17
700,-1.6452200856975399,-2.3421033272668907,12
710,-1.407441370552132,-2.0283973477907327,21
720,-1.8535525033812006,-2.078394865880869,16
730,-1.737418925788069,-2.217691352098989,11
740,-0.025302368315642365,-1.7811275898379026,18
750,-1.600581766928455,-2.0569162785925323,14
760,-1.8504861381628097,-2.439792970842932,15
770,-0.6210822452569591,-1.9611620888515016,15
780,-1.2245901058041073,-2.100213928806989,17
790,-1.5691778092527526,-2.0977670298336624,17
800,-1.6175673752836432,-2.046454069651351,16
