iteration,logZs,elbos,Ts
10,-5.774873975414923,-6.8212715338559775,32
20,-5.415259865534408,-6.719964484775544,32
30,-4.971875701848558,-6.899328495792024,32
40,-2.3587142152106155,-6.558644255691697,32
50,-4.800884739600734,-6.78659081567609,32
60,-4.066678363271899,-6.978681880116655,32
70,-5.230535878563768,-7.0773717746643285,32
80,-3.6829030247103955,-6.3731880661009805,32
90,-1.59263150428016,-6.856705994499696,32
100,-5.744674374901525,-6.909402840429499,32
110,-4.874916141585942,-6.879539596581691,32
120,-4.15994936462534,-6.658058375679402,32
130,-5.733781466765404,-7.1946133157853245,32
140,-5.777773939433295,-6.955593118102963,32
150,-5.787789509632379,-7.09439344854457,32
160,-5.0763081279023465,-7.119458330675377,32
170,-4.472508847991642,-6.534095945672501,32
180,-5.133920217439318,-6.553181473010827,32
190,-3.5837721006350423,-6.821652531096476,32
200,-4.32551256665599,-6.4705194101071095,32
210,-2.232206167178342,-6.2234387631245465,32
220,-6.234861051974935,-7.173706474613063,32
230,-6.066168839512551,-6.793098084098257,32
240,-2.893862972842732,-6.56739866757027,32
250,-5.0164929953869475,-6.784222549666307,32
260,-5.5003610667028795,-6.793458491459024,32
270,-4.3180205039195,-7.529143250063614,32
280,-6.272294924153428,-7.37962737450208,32
290,-5.447128196315778,-6.689603425551739,32
300,-5.2875255167035995,-6.5962841293461345,32
310,-3.01864418169399,-6.004579275000924,32
320,-5.934706274591582,-6.823588253580264,32
330,-6.078308158930065,-7.163440709316895,32
340,-5.1762467094668505,-6.776461235068281,32
350,-3.760634526371907,-6.928409438240775,32
360,-4.8747589177616355,-6.710897578009141,32
370,-5.298312422665652,-6.707117774410683,32
380,-4.6360169672304945,-6.868441326601007,32
390,-5.497305415640561,-6.65077557772563,32
400,-4.868763051025201,-6.646026396801836,32
410,-5.697878128490167,-6.476884433936233,32
420,-3.9996631364237025,-7.088542422779038,32
430,-3.424454368660525,-6.590226737394229,32
440,-3.0539520576487833,-6.911886510071261,32
450,-5.957788655241613,-7.39612518435542,32
460,-5.696215890368464,-7.3099691197246015,32
470,-5.749805017170164,-6.6489841532920435,32
480,-5.9554215627282145,-7.0037136775163304,32
490,-6.061496118904186,-7.332924772086243,32
500,-6.211748950609174,-7.285201057656318,32
510,-3.2817331883478924,-6.562907366787409,32
520,-5.459780543929464,-6.8224716719092715,32
530,-5.798457668648532,-6.896842512314209,32
540,-3.190465695246928,-6.865645169035844,32
550,-1.6406730475639653,-6.190018764738817,32
