iteration,logZs,elbos,Ts
10,-0.3563285139597956,-1.8870947438985428,18
20,-1.2602715933107245,-1.9278530743757094,17
30,-1.3303734306222146,-1.84426284979511,19
40,-1.7162485019515819,-1.8714742015235208,20
50,-1.05417945023602,-1.742822578693798,17
60,-2.142397973230062,-2.3542433491484163,12
70,-1.0091908128197793,-1.8581118215186039,17
80,-2.2256636906972087,-2.383509248783007,13
90,-1.6995728900374325,-2.100729580235893,20
100,-1.6228354297721403,-1.9674557594081101,14
110,-1.3954527688865457,-2.017016273801868,17
120,-1.9153949314749013,-2.0957489885981215,16
130,-1.6137145109132578,-2.073291866266078,15
140,-2.0237158783261187,-2.3253442188092905,15
150,-1.5362060517903067,-2.093151216655864,16
160,-1.7543142949390367,-2.16554729074442,14
170,-1.683875380640986,-1.9857611344079624,15
180,-1.4947165615064235,-1.9946359859638512,15
190,-1.5889763235061758,-2.0633068260391236,15
200,-1.4806496052618612,-2.0376024437082476,16
210,-1.8528458102914576,-2.0119070652526476,11
220,-1.3671456349897508,-1.7645725949364843,14
230,-1.3149580065414765,-1.961249399915214,16
240,-2.120324972583921,-2.3016766014599432,17
250,-1.5752228034649804,-2.0263798334384022,20
260,-1.2618856243386154,-2.0347963230685586,17
270,-1.2878672711553119,-1.7649494462844046,17
280,-2.1593208958812258,-2.295754722792397,10
290,-2.2132502546812107,-2.538409134959218,20
300,-1.729014530946495,-2.256533451651558,14
310,-0.3592413180319416,-1.7461012914305387,20
320,-1.8295913804776114,-2.0932052401119026,16
330,-1.7112376975143655,-1.987326467652264,20
340,-1.8624268782973163,-2.0218148340172144,16
350,-1.585762818845685,-2.2214245790206886,21
360,-1.829524665058066,-2.0122265648362254,14
370,-1.612090173480689,-1.911477879917931,14
380,-2.0284303899427787,-2.273636023070341,16
390,-1.9558792763600175,-2.1677954724449306,13
400,-1.7061936458256708,-2.0858243948455435,16
410,-1.5283176996183367,-2.044695087252326,14
420,-2.2368542195248526,-2.3948196776881896,11
430,-0.7608255419931247,-1.8824357953101385,18
440,-1.8591207980527296,-2.1000828907093982,19
450,-1.5454224609634668,-1.9459146903245121,14
460,-0.7885229163502712,-1.7053284380076184,18
470,-1.6477549812254146,-2.1222195394818844,15
480,-1.6813203195235884,-2.168343835390497,23
490,-1.5746241630671203,-2.051443655441834,19
500,-1.5448557951979287,-1.960032738801573,18
510,-0.9286239241512084,-1.942062749244472,18
520,-1.6672001620915773,-2.0199282046998426,17
530,-1.758786309958199,-2.064599825497797,16
540,-1.4412095249866108,-2.0999629086477127,18
550,-1.5903812922412208,-1.9168341683049377,17
