iteration,logZs,elbos,Ts
10,-3.114054933032974,-5.454388094394248,49
20,-3.9961507518280586,-5.359213513543528,44
30,-2.9488785927137053,-5.352564472464682,48
40,-2.749112349208082,-5.147105208654707,47
50,-4.4211961908956905,-5.879947411870783,44
60,-4.330074579385066,-6.130130004079755,42
70,-3.7348682213296214,-5.630517435720594,48
80,-4.037662866006037,-5.7501698641874,46
90,-1.905690686272747,-5.5549789341554305,49
100,-4.8701654655959965,-6.306955847552417,42
110,1.4629706756390068,-5.065905165109898,56
120,-1.801448244446031,-4.966539418631145,51
130,-4.416674863728084,-6.128747995437481,46
140,-4.1189461050562635,-6.179307208166608,43
150,-5.008306457319686,-6.294050180887199,43
160,-5.431900490398267,-6.234692463787077,40
170,-3.6689109275240623,-5.451571073374774,48
180,-4.058497720519085,-5.334633381748982,46
190,-2.825364114225381,-6.11876278238571,44
200,-0.9133498253339107,-5.049232674317126,52
210,-4.023712591960736,-5.328304049208912,45
220,-4.6943868957648265,-5.905221206200509,44
230,-4.349240173936305,-5.784919541843404,45
240,-4.364846502260098,-5.88087209119354,45
250,-4.17118036440274,-5.738218176458459,48
260,-4.387258939899757,-5.734432825883085,45
270,-3.095959448194862,-6.031991162876083,46
280,-4.59869188814906,-6.504735792457243,41
290,1.2089715656406494,-5.049988491597945,49
300,-5.015014389657394,-6.438497908446667,40
310,-3.4833237528231997,-5.442276945402873,42
320,-2.657903034093355,-5.802666975243522,43
330,-3.559050044628922,-5.522713875319257,45
340,-3.3488557880139167,-5.67055067072393,48
350,-2.7332910566210122,-5.633197061407836,45
360,-4.159402903339456,-5.81805260377909,42
370,-4.0959626607878565,-5.656526684143776,47
380,-4.396058171658883,-6.177342235939639,41
390,-3.73475288369473,-6.0006583079618725,45
400,-4.015662379917979,-5.696284426364299,48
410,-3.901244436218714,-5.6650627728193275,43
420,-2.1814939234348723,-5.20178098223194,49
430,-0.8600738944941035,-5.83774421556991,47
440,-3.963040934331361,-6.375710690792447,42
450,-5.711065872416482,-6.61769633931198,40
460,-5.156401136241599,-6.434532153944661,41
470,-3.59989782647701,-5.327190306831301,49
480,-5.945951990767949,-6.7911912615904955,37
490,-2.596290056543723,-5.60492154206795,45
500,-5.762011968177794,-6.899698516101607,39
510,-0.9908922053933007,-4.96436654073386,52
520,-4.8292700896525265,-5.861399402287278,41
530,-3.902297646136538,-6.2998512978653896,43
540,-5.471090143377669,-6.26709650481225,41
550,-3.5746688633238364,-5.251091245295205,49
560,-3.5260276555143077,-5.464601501533006,48
570,-2.9595815617769947,-5.074363355554016,49
580,-4.554385907585162,-6.285289868534089,41
590,-4.881606762370144,-5.902574878125837,43
600,-1.0593295447037887,-5.804192788988402,46
610,-4.693062813428909,-6.449560144385303,40
620,-3.7770376984709335,-5.291219837075688,50
630,-3.0093494064926083,-5.524121012237067,51
640,-4.124086447205781,-5.557079005546423,43
650,-4.631902621027537,-5.705302613466237,41
660,-5.080937665238972,-6.58176447675441,39
670,-5.0728844101440655,-6.34968901162591,42
680,-5.0526467611586,-6.889776798556622,34
690,-3.026959349378238,-5.711308166945898,47
700,-5.063996054143299,-6.125000826744733,44
710,-2.6516077953837343,-5.109837617792812,47
720,-4.068324807120476,-5.443096069110504,49
730,-4.092898518078367,-5.586560099795728,46
740,-3.1095539292300383,-5.485235122094447,46
750,-3.181882687543883,-5.888934690609192,50
760,-4.488377952643342,-5.773287058836154,43
770,-2.9731775221564027,-5.562107726423273,48
780,-3.8030653630468416,-5.024931731786676,48
790,-4.472447975788176,-6.283965499427477,41
800,-4.078768679581074,-5.6823308087111855,42
810,-4.106001533769418,-5.866044270617899,44
820,-3.0633291011384918,-5.72252817933857,46
830,-3.359084081265308,-5.672013541969613,45
840,-6.183611485167197,-6.897779806374565,41
850,-4.735430012917817,-6.2829476773343425,41
860,-1.2881587546452882,-4.792440664692278,49
870,-1.2801523582402319,-4.6103234869611205,51
880,-2.120592571313589,-4.971132429166424,50
890,-4.564443704613687,-5.75763930720057,46
